AddressLine,Suburb,PostCode,PropertyType,BuildingSize,EER,BedRooms,Bathroosm,Parking,BlockSize,AgencyName,ListingDate,ContractDate,TransferDate,Purpose,UV_Value,TranserAmount
8/1 Martel Street,Denman Prospect,2611,TOWNHOUSE,159,6,4,2,2,,Independent Woden,2022-11-14T00:00:00,2023-05-11T00:00:00,,,,875000.0
175/61 John Gorton Drive,Wright,2611,UNIT,,6,1,1,1,,Independent Inner North & City,2023-02-17T00:00:00,2023-05-11T00:00:00,,,53856.0,445000.0
29/11 Castan Street,Coombs,2611,TOWNHOUSE,130,6,4,3,2,11648.0,Agent Team Canberra,2023-03-16T00:00:00,2023-05-11T00:00:00,,,,
1 Clingan Street,Wright,2611,HOUSE,222,6,4,2,2,527.0,Red Brick Properties,2023-03-23T00:00:00,2023-05-11T00:00:00,,,632000.0,1240000.0
16 Stan Davey Rise,Coombs,2611,HOUSE,,5,4,3,2,,HIVE Property,2023-04-27T00:00:00,2023-05-11T00:00:00,,,604000.0,1800000.0
14 Cashman Street,Denman Prospect,2611,HOUSE,395,6,4,3,6,578.0,Blackshaw Manuka,2023-02-25T00:00:00,2023-05-06T00:00:00,,,735000.0,
33 Castan Street,Coombs,2611,HOUSE,224,5.5,4,3,2,450.0,Ray White Canberra ,2023-03-29T00:00:00,2023-05-05T00:00:00,,,572000.0,
42/5 Skuta Place,Denman Prospect,2611,APARTMENT,105,6,2,2,2,,Belle Property Canberra,2023-03-09T00:00:00,2023-05-05T00:00:00,,,70400.0,615000.0
17 Heseltine Street,Denman Prospect,2611,HOUSE,147,6,4,2,2,503.0,Luton Properties Weston Creek and Molonglo Valley,2023-04-20T00:00:00,2023-05-03T00:00:00,,,675000.0,
87/1 Dunphy Street,Wright,2611,UNIT,86,6,2,2,2,,Hayman Partners,2023-03-02T00:00:00,2023-05-02T00:00:00,,,53900.0,532000.0
64 Sibosado Street,Denman Prospect,2611,LAND,,0,0,0,0,432.0,The Property Collective,2023-03-10T00:00:00,2023-05-01T00:00:00,,,,667000.0
57 Trinca Street,Denman Prospect,2611,HOUSE,264,6,5,3,2,240.0,Belle Property Canberra,2023-03-31T00:00:00,2023-04-29T00:00:00,,,360000.0,1250000.0
7/221 John Gorton Drive,Wright,2611,TOWNHOUSE,189,6,4,4,2,4498.0,PropertyNow,2023-02-17T00:00:00,2023-04-06T00:00:00,2023-04-28,MULTIPLE UNIT DWELLING,,
8 Malcolm Cole Terrace,Whitlam,2611,HOUSE_AND_LAND_PACKAGE,,6,4,2,2,350.0,New Door Properties,2022-01-24T00:00:00,2023-02-01T00:00:00,2023-04-27,SINGLE RESIDENTIAL DWELLING,,630000.0
60 Freebury Street,Denman Prospect,2611,HOUSE,202,6,4,2,2,540.0,Independent Tuggeranong,2023-02-23T00:00:00,2023-03-16T00:00:00,2023-04-27,SINGLE RESIDENTIAL DWELLING,675000.0,1500000.0
13 Dunphy Street,Wright,2611,N/A,N/A,N/A,N/A,N/A,N/A,717.0,N/A,,2023-03-15T00:00:00,2023-04-26,SINGLE RESIDENTIAL DWELLING,,980000.0
2 Terry Connolly Street,Coombs,2611,OTHER,,6,3,2,2,,LJ Hooker Project Marketing,2023-03-20T00:00:00,2023-04-26T00:00:00,,,,789900.0
25 Ulysses Circuit,Wright,2611,HOUSE,202,5,4,3,2,491.0,HIVE Property,2023-01-25T00:00:00,2023-03-10T00:00:00,2023-04-26,SINGLE RESIDENTIAL DWELLING,626000.0,1375000.0
120 Ada Norris Avenue,Denman Prospect,2611,N/A,N/A,N/A,N/A,N/A,N/A,414.0,N/A,,2021-02-11T00:00:00,2023-04-24,SINGLE RESIDENTIAL DWELLING,,422500.0
41 Freebury Street,Denman Prospect,2611,LAND,,,0,0,0,583.0,New Door Properties,2022-07-22T00:00:00,2022-12-16T00:00:00,2023-04-24,SINGLE RESIDENTIAL DWELLING,705000.0,775000.0
6 Willesee Rise,Coombs,2611,HOUSE,242,4,5,2,2,495.0,Blackshaw Manuka,2022-10-27T00:00:00,2022-12-13T00:00:00,2023-04-21,SINGLE RESIDENTIAL DWELLING,572000.0,1385000.0
6/221 John Gorton Drive,Wright,2611,N/A,N/A,N/A,N/A,N/A,N/A,4498.0,N/A,,2023-02-24T00:00:00,2023-04-21,MULTIPLE UNIT DWELLING,,600000.0
13/40 Philip Hodgins Street,Wright,2611,APARTMENT,195,6,3,2,2,,Edge Lesley Williams,2023-01-31T00:00:00,2023-04-20T00:00:00,,,45900.0,765000.0
9/43 Arthur Blakeley Way,Coombs,2611,APARTMENT,81,6,2,1,1,,Blackshaw Manuka,2023-02-23T00:00:00,2023-04-20T00:00:00,,,,500000.0
40 Leontine Loop,Denman Prospect,2611,N/A,N/A,N/A,N/A,N/A,N/A,450.0,N/A,,2023-01-30T00:00:00,2023-04-20,SINGLE RESIDENTIAL DWELLING,,765000.0
4 Malcolm Cole Terrace,Whitlam,2611,HOUSE,203,6,3,2,2,339.0,Edge Adil Iqbal,2022-01-20T00:00:00,2023-02-13T00:00:00,2023-04-19,SINGLE RESIDENTIAL DWELLING,,625000.0
35 Keith Bain Crest,Whitlam,2611,N/A,N/A,N/A,N/A,N/A,N/A,461.0,N/A,,2022-11-04T00:00:00,2023-04-19,SINGLE RESIDENTIAL DWELLING,,425000.0
73 Leontine Loop,Denman Prospect,2611,LAND,,0,0,0,0,426.0,Carter and Co Agents,2022-10-28T00:00:00,2023-01-25T00:00:00,2023-04-18,SINGLE RESIDENTIAL DWELLING,,710000.0
13 Redshaw Street,Coombs,2611,HOUSE,,5,4,2,2,540.0,Blackshaw Woden,2023-01-20T00:00:00,2023-02-11T00:00:00,2023-04-18,SINGLE RESIDENTIAL DWELLING,586000.0,1450000.0
33 Eggins Street,Denman Prospect,2611,N/A,N/A,N/A,N/A,N/A,N/A,414.0,N/A,,2022-10-14T00:00:00,2023-04-18,SINGLE RESIDENTIAL DWELLING,,714150.0
2 Pannell Street,Whitlam,2611,OTHER,250,6,4,2,2,675.0,Mainstream Real Estate,2022-11-18T00:00:00,2023-04-18T00:00:00,,,,820000.0
135 Sculthorpe Avenue,Whitlam,2611,N/A,N/A,N/A,N/A,N/A,N/A,450.0,N/A,,2023-02-10T00:00:00,2023-04-18,SINGLE RESIDENTIAL DWELLING,,401000.0
23 David Fleay Street,Wright,2611,HOUSE,181,6,3,2,2,405.0,Blackshaw Manuka,2023-03-23T00:00:00,2023-04-15T00:00:00,,,545000.0,1071000.0
22/21 Bakewell Street,Coombs,2611,TOWNHOUSE,,6,3,2,2,,Homeplus Property Group,2022-09-28T00:00:00,2023-04-14T00:00:00,,,74925.0,
